tier,pack,gun_id,type,ammo,note,bullet_damage,bullet_amount,explosion_damage
0,Apocalypse (bf1),bf1:martini,sniper,45_70,Martini-Henry 1871,45.6,1,
0,Apocalypse (bf1),bf1:model10,shotgun,12g,early 1900s pump shotgun,4.7,12,
0,Apocalypse (bf1),bf1:sjogren,shotgun,12g,Sjogren automatic shotgun ~1908,4.8,11,
0,Apocalypse (bf1),bf1:sw_model3,pistol,357mag,S&W Model 3 1870,8.1,1,
0,ChocolateMan (qkl),qkl:1860,rifle,357mag,Henry 1860,9.9,1,
0,ChocolateMan (qkl),qkl:1871,rifle,50ae,Winchester-era lever gun,11.0,1,
0,ChocolateMan (qkl),qkl:clf10,shotgun,12g,"Single-shot break-action shotgun, improvised/primitive design, tier 0",5.5,7,
0,ChocolateMan (qkl),qkl:fk15,rifle,16mm,"Custom musket-pattern weapon; muzzle-loading black-powder long arm, tier 0",13.2,1,
0,ChocolateMan (qkl),qkl:fk15p,pistol,16mm,"Custom flintlock pistol; single-shot black-powder era sidearm, tier 0",10.8,1,
0,Suffuse,suffuse:m1895,rifle,45_70,Winchester 1895 lever rifle,12.1,1,
0,Suffuse,suffuse:trapper50cal,pistol,boomstickshot,"Represented as a flintlock single-shot pistol; black-powder era design, tier 0",9.9,1,
0,TaCZ Expanded Arsenal,tacz:1873,sniper,tacz:44_40,"Winchester Model 1873 - lever-action rifle, .44-40, Old West era",30.4,1,
0,TaCZ Expanded Arsenal,tacz:1881,sniper,tacz:45_70,"Marlin Model 1881 - lever-action rifle in .45-70, matches the big-bore lever/single-shot antique bracket",38.0,1,
0,TaCZ Expanded Arsenal,tacz:1889,pistol,tacz:38lc,"Colt New Army Model 1889 - double-action service revolver, .38 Long Colt",7.2,1,
0,TaCZ Expanded Arsenal,tacz:4570,sniper,tacz:45_70,"Marlin Model 1895 - lever-action .45-70, big-bore antique bracket",41.8,1,
0,TaCZ Expanded Arsenal,tacz:auto5,shotgun,tacz:12g,"FN Browning Auto-5 - early semi-auto shotgun, 1902",5.3,9,
0,TaCZ Expanded Arsenal,tacz:frolovka,shotgun,ea:20g,Frolovka - traditional Russian homemade/improvised break-action shotgun,0.20,200,
0,TaCZ Expanded Arsenal,tacz:lupara,shotgun,tacz:12g,Lupara - sawed-down double-barrel shotgun,0.20,200,
0,TaCZ Expanded Arsenal,tacz:m1887,shotgun,tacz:12g,"Winchester M1887, matches the sgputer/sgputer2 (M1887 reskins) tier",6.2,8,
0,TaCZ Expanded Arsenal,tacz:m1907,rifle,tacz:351wsl,Winchester M1907 Self-Loading - early semi-auto sporting rifle,8.8,1,
0,TaCZ Expanded Arsenal,tacz:no3,pistol,tacz:44_40,S&W Model 3 - .44-40 top-break revolver,9.0,1,
0,daffas,daffas_arsenal:sgputer,shotgun,12g,"Winchester M1887 lever-action shotgun, long-barrel variant, 1887 era",5.7,8,
0,daffas,daffas_arsenal:sgputer2,shotgun,12g,"Winchester M1887 lever-action shotgun, short-barrel variant, 1887 era",5.1,8,
0,tacz (vanilla),tacz:db_long,shotgun,12g,classic double-barrel pattern,4.3,10,
0,tacz (vanilla),tacz:db_short,shotgun,12g,classic double-barrel pattern,3.4,16,
0,tacz (vanilla),tacz:springfield1873,sniper,45_70,Springfield 1873 Trapdoor,34.2,1,
1,Apocalypse (bf1),bf1:chauchat,mg,30_06,Chauchat - WWI 1915,11.9,1,
1,Apocalypse (bf1),bf1:de_lisle,rifle,45acp,De Lisle Commando 1943,10.6,1,
1,Apocalypse (bf1),bf1:f_faust,rpg,40mm,Panzerfaust - WWII 1943,19.1,5,76.0
1,Apocalypse (bf1),bf1:handgun,pistol,9mm,generic WWI-era sidearm,8.1,1,
1,Apocalypse (bf1),bf1:kolibri,pistol,9mm,Kolibri 1914 pocket pistol - tiny novelty-scale hand pistol,7.9,1,
1,Apocalypse (bf1),bf1:lewis,mg,308,Lewis Gun - WWI 1914,8.0,1,
1,Apocalypse (bf1),bf1:liu,rifle,762x54,"'General Liu' - semi-auto clip-fed rifle resembling the M1 Garand, WWII-era analog, tier 1",13.0,1,
1,Apocalypse (bf1),bf1:lunge_mine,rpg,40mm,Japanese Lunge Mine - WWII 1944,65.4,1,196.0
1,Apocalypse (bf1),bf1:m1916,rifle,308,Berthier/RSC M1916 - WWI,11.6,1,
1,Apocalypse (bf1),bf1:man_m95,sniper,30_06,Mannlicher M1895,37.0,1,
1,Apocalypse (bf1),bf1:mg0815,mg,762x54,MG 08/15 - WWI 1915,9.6,1,
1,Apocalypse (bf1),bf1:mg42,mg,762x54,MG42 - WWII 1942,8.4,1,
